58,Feb 26th,HiTS58SN,46,N22,1956,320,22.1
59,Feb 26th,HiTS59SN,49,N14,2460,1452,21.2
60,Feb 26th,HiTS60SN,39,S10,1757,0857,22.7
61,Feb 26th,HiTS61SN,43,N25,139,813,22.5
62,Mar 13th,HiTS62SN,20,S14,1576,640,21.5
63,Mar 13th,HiTS63SN,25,N3,1184,333,22.75
64,Mar 13th,HiTS64SN,15,N22,3970,1632,22.2
65,Mar 13th,HiTS65SN,41,S29,4033,376,22.76
66,Mar 7-8th,HiTS66SN,03,N3,206,1712,22.51 +0.10-0.10
67,Mar 7-8th,HiTS67SN,03,N20,128,1934,x
68,Mar 7-8th,HiTS68SN,05,N17,331,1469,21.35 +0.04-0.04
69,Mar 7-8th,HiTS69SN,07,N27,1641,922,22.51 +0.10-0.10
70,Mar 7-8th,HiTS70SN,12,N20,4014,424,22.14 +0.06-0.06
71,Mar 7-8th,HiTS71SN,14,S8,693,678,19.06 +0.01-0.01
72,Mar 7-8th,HiTS72SN,14,S11,3355,1003,21.14 +0.03-0.03
73,Mar 7-8th,HiTS73SN,19,S12,1018,797,20.89 +0.02-0.02
74,Mar 7-8th,HiTS74SN,21,N8,1388,292,21.92 +0.06-0.05
75,Mar 7-8th,HiTS75SN,21,S15,3826,209,22.34 +0.08-0.07
76,Mar 7-8th,HiTS76SN,28,N12,1386,515,21.37 +0.06-0.06
77,Mar 7-8th,HiTS77SN,30,S26,3062,1568,19.55 +0.01-0.01
78,Mar 7-8th,HiTS78SN,26,N10,2660,1236,22.32 +0.08-0.07
79,Mar 7-8th,HiTS79SN,39,N23,277,1598,21.81 +0.05-0.05
80,Mar 7-8th,HiTS80SN,34,N3,3630,1052,21.47 +0.04-0.04
81,Mar 7-8th,HiTS81SN,41,N26,753,638,22.21 +0.06-0.06
82,Mar 7-8th,HiTS82SN,49,N20,3979,683,22.35 +0.09-0.08
83,Mar 7-8th,HiTS83SN,43,S1,926,558,18.04 +0.00-0.00
84,Mar 7-8th,HiTS84SN,40,N16,1208,1725,19.41 +0.01-0.01
85,Mar 7-8th,HiTS85SN,46,S24,615,877,21.85 +0.07-0.07
86,Mar 7-8th,HiTS86SN,49,S17,2348,1858,22.45 +0.11-0.10
87,Mar 7-8th,HiTS87SN,19,N8,3133,1553,22.19 +0.07-0.07
88,Mar 7-8th,HiTS88SN,45,S6,1242,1340,22.13 +0.08-0.07
89,Mar 7-8th,HiTS89SN,45,N8,3075,1700,22.29 +0.09-0.09
90,Mar 7-8th,HiTS90SN,47,S27,3514,978,21.06 +0.03-0.03
-,-,PH14SN,02,S17,2826,1838,-
-,-,PH17SN,07,S23,1969,1334,-
-,-,PH19SN,09,N11,0672,0052,-
-,-,PH20SN,12,S5,1822,0174,-
-,-,PH24SN,20,S10,1085,0696,-
-,-,PH25SN,26,N6,3690,1683,-
-,-,PH27SN,38,N22,0806,1617,-
-,-,PH28SN,38,S25,2720,0172,-
-,-,PH29SN,39,N21,1643,0063,-
-,-,PH32SN,47,N22,2120,1238,-
-,-,PH23VS,19,N18,0930,0593,-
-,-,PH30VS,41,N21,0734,1014,-
-,-,PH31VS,43,S17,1019,0807,-
-,-,PH15BS,05,S2,2789,1960,-
-,-,PH16BS,07,N3,0426,1429,-
-,-,PH18BS,08,S6,3073,1997,-
-,-,PH21BS,16,N6,1679,1676,-
-,-,PH22BS,17,N3,3466,1119,-
-,-,PH26BS,38,N9,0208,1009,-
-,-,UK000,01,S18,3236,0103,-
-,-,UK001,01,S22,3095,0577,-
-,-,UK002,01,S26,2977,0623,-
-,-,UK005,02,S18,3233,0104,-
-,-,UK006,02,S29,3555,1032,-
-,-,UK007,04,N28,4053,0902,-
-,-,UK008,04,S28,0222,0389,-
-,-,UK010,05,N6,0565,1151,-
-,-,UK011,05,N21,1534,1164,-
-,-,UK012,05,N26,0366,0342,-
-,-,UK014,05,S24,0374,1445,-
-,-,UK015,06,N12,1212,1959,-
-,-,UK016,06,S2,4040,1101,-
-,-,UK020,07,N18,2012,0142,-
-,-,UK021,07,S8,1305,1705,-
-,-,UK024,08,S5,1786,1906,-
-,-,UK026,08,S9,0755,0774,-
-,-,UK027,08,S18,3232,0103,-
-,-,UK028,08,S31,0452,0977,-
-,-,UK030,09,N12,0613,0598,-
-,-,UK031,09,S10,0722,0740,-
-,-,UK032,10,N6,2567,1246,-
-,-,UK033,12,N15,3314,1746,-
-,-,UK038,14,S21,4027,1373,-
-,-,UK039,15,S18,3235,0103,-
-,-,UK041,16,N31,3566,0558,-
-,-,UK043,18,N20,3126,0688,-
-,-,UK045,20,N10,0897,1250,-
-,-,UK046,20,N24,3616,1372,-
-,-,UK048,20,S23,0821,1162,-
-,-,UK050,21,S5,3012,1130,-
-,-,UK051,22,N2,0861,0036,-
-,-,UK052,22,N15,0313,1033,-
-,-,UK054,24,N8,1888,1489,-
-,-,UK055,25,S8,2206,0463,-
-,-,UK060,27,S25,2310,0671,-
-,-,UK061,28,S2,1418,1949,-
-,-,UK062,28,S2,1704,1875,-
-,-,UK063,28,S2,2214,1876,-
-,-,UK064,28,S2,1484,1876,-
-,-,UK065,28,S2,1644,1876,-
-,-,UK066,29,N20,2043,0245,-
-,-,UK068,30,N26,0203,0271,-
-,-,UK069,30,S2,3131,1652,-
-,-,UK071,31,S3,3979,1083,-
-,-,UK073,31,S11,2977,1654,-
-,-,UK074,32,N12,0713,1305,-
-,-,UK075,32,N23,2632,0783,-
-,-,UK076,32,S26,1218,0670,-
-,-,UK078,33,S13,2404,0428,-
-,-,UK079,33,S25,2778,1392,-
-,-,UK080,34,N8,1995,1193,-
-,-,UK081,34,N8,1942,0965,-
-,-,UK082,34,N8,1581,0870,-
-,-,UK087,36,S13,3141,1727,-
-,-,UK088,37,N9,2050,1858,-
-,-,UK089,37,S6,0723,1127,-
-,-,UK091,38,N9,0592,0421,-
-,-,UK096,39,N1,2824,1106,-
-,-,UK097,39,N14,0385,0677,-
-,-,UK098,39,N15,3722,1853,-
-,-,UK100,39,N21,1862,0081,-
-,-,UK101,39,N21,1619,0041,-
-,-,UK102,39,N26,0919,0923,-
-,-,UK103,39,S5,3020,1373,-
-,-,UK104,39,S17,3911,1649,-
-,-,UK107,40,S25,4037,1123,-
-,-,UK110,41,S15,2647,0661,-
-,-,UK111,41,S15,2573,0300,-
-,-,UK114,42,S16,1529,0435,-
-,-,UK115,43,S13,2047,1133,-
-,-,UK117,44,N23,1158,0289,-
-,-,UK119,45,N23,1197,0679,-
-,-,UK120,45,N27,3882,0045,-
-,-,UK121,45,N29,4008,0383,-
-,-,UK122,45,S2,3717,1012,-
-,-,UK123,46,S10,0640,1989,-
-,-,UK127,47,S17,4024,1280,-
-,-,UK128,47,S21,0307,1563,-
-,-,UK129,47,S24,2557,1818,-
-,-,UK130,48,N26,2696,0103,-
-,-,UK131,49,S31,2730,1683,-
-,-,UK132,50,S1,2804,1807,-
-,-,UK133,50,S1,2852,1979,-
-,-,UK134,50,S1,3184,1711,-
-,-,UK135,50,S28,2007,1094,-
-,-,UK136,54,N31,0833,1554,-
-,-,UK137,54,S5,2832,1700,-
