# EPOCH	MJD	MAG_KRON	MAGERR_KRON
2	57070.1473607	18.394378087838078	0.006238357792867626
3	57070.2330268	17.308182793280256	0.006290063438296963
4	57070.3016566	17.615280399923154	0.004389851085039965
5	57070.3488716	17.830285837751926	0.006244339223363886
6	57071.0763185	18.352436708078788	0.007083316702976509
7	57071.143925	18.358248527896414	0.0058914137490344715
8	57071.211847	18.30764044353965	0.004627626199326752
9	57071.2820768	18.383666763422397	0.006748085030494386
10	57071.3510662	17.32409116289237	0.008305030265304844
11	57072.0731738	18.092531929425277	0.006985459054435052
12	57072.1405362	18.270259865206956	0.0066247063126893616
13	57072.2103164	18.381755996896725	0.008539884157668955
14	57072.2790676	18.34778591307609	0.005647002570633325
15	57072.3480749	18.416296781098023	0.007545038930405206
16	57073.0704955	17.715813723882498	0.0075206398120120045
17	57074.0678347	17.49256830998727	0.007459361424140994
18	57074.335195	18.285994692279377	0.009002596521836178
19	57075.0656509	18.32615014299282	0.007145709513173074
20	57075.1329992	18.316190522789444	0.008447845694742709
21	57075.2011736	17.33514789951475	0.005236601158724876
22	57075.2700366	17.728393652564442	0.007523071624977749
23	57075.3385839	18.014521691443008	0.009075971511965888
25	57077.1178	18.347797177390927	0.0062059768454240044
26	57077.1792837	18.369270746542785	0.006021943406983575
27	57078.1878806	18.288007922970447	0.005802696054083291
29	57080.1091673	17.51150259490131	0.007795532237979008
30	57080.1773206	17.54322389650683	0.0065904174505744435
32	57090.2374246	18.212041579090197	0.010399932008776144
36	57095.1769603	18.19968223749213	0.005237870431183084
