# EPOCH	MJD	MAG_KRON	MAGERR_KRON
2	57070.1567111	20.129092363528276	0.014417577186034522
3	57070.2426175	19.963406680380988	0.012284195950953435
4	57070.3113891	20.2767275766172	0.01790140856205494
5	57070.3583787	20.418467743595567	0.021800029868482538
6	57071.085781	20.656246095460553	0.022871809658169547
7	57071.1532507	20.740085785679188	0.020900872492098155
8	57071.2214237	20.695096960063875	0.019162945761082177
9	57071.2915803	20.686685067575127	0.0204363343723103
10	57071.3605515	20.387405088873752	0.021384075992045726
11	57072.0825445	20.083330656646773	0.01859135148840093
12	57072.1498808	20.32885483086525	0.016057495329369335
13	57072.2196423	20.50295756803194	0.01846281079463155
14	57072.2885502	20.66431248977842	0.020444992108111713
15	57072.3576403	20.7076677120429	0.029934686452730605
16	57073.0798614	20.752056696190333	0.04318371600819376
17	57074.0772132	20.630341337382298	0.05201231513196582
18	57074.3446857	20.86540555296452	0.07964439942491673
19	57075.075046	19.92982183774555	0.019250053406245138
20	57075.1423407	20.223629004966146	0.023031543842933693
21	57075.2106837	20.40717275274606	0.020724845291268657
22	57075.2795639	20.54389131689853	0.03089227696456063
23	57075.3481681	20.752132613302898	0.04876381803278273
25	57077.1271138	20.672789476161142	0.030359460333818807
26	57077.1886985	20.782304766060825	0.02824479057037213
27	57078.1934401	20.287859590858726	0.020108851233836385
29	57080.1184953	20.396121670078486	0.06087472364398214
30	57080.1868442	20.635499001782254	0.04684323740838512
32	57090.2436755	19.86501335408977	0.036968749837554334
36	57095.1864834	20.28686909588675	0.016928584097548362
