# EPOCH	MJD	MAG_KRON	MAGERR_KRON
2	57070.1593888	17.854679838778775	0.0052686230425064194
3	57070.2452939	17.992548339719185	0.004621109723315546
4	57070.3141609	18.167369084190707	0.0046421852943559876
5	57070.3611263	18.23878485920121	0.005437377196488311
6	57071.0884497	18.380917851070965	0.005800626575379755
7	57071.1559281	18.413496380405117	0.005366436031366989
8	57071.2240972	18.483501341007106	0.004908837821394327
9	57071.2943927	18.511198592977255	0.007143999795171101
10	57071.3632191	18.048924302428862	0.005983610079053581
11	57072.0852101	17.928095038854387	0.005747192443504989
12	57072.152555	18.096458230077516	0.006049001632870046
14	57072.2223061	18.26549076714798	0.005264658630751037
15	57072.2912262	18.32705080480084	0.0054038920166591545
16	57072.3603066	18.416436002455608	0.006385994141507543
17	57073.0825483	18.390657960598624	0.0217676328551025
18	57074.0798627	18.215642002306918	0.008594309987506944
19	57074.3473916	18.448266577311063	0.00830333439044049
21	57075.0777191	18.17088980567014	0.007459358794643624
22	57075.1450198	17.8355773785728	0.004940135019002565
24	57075.2823316	18.148286989721225	0.006514011989662343
25	57075.3508478	18.262237851632133	0.008435833421213268
27	57077.1297836	18.107971581221197	0.00650615170316575
28	57077.1914337	18.22692380748372	0.005301015832068503
31	57080.1211734	17.84789958780467	0.007033778087805533
38	57095.1892597	18.18784332167516	0.005233517356381109
