# EPOCH	MJD	MAG_KRON	MAGERR_KRON
2	57070.1889488	16.936681103422227	0.00396231156415792
3	57070.2575659	17.23053183158552	0.004118584916916985
4	57070.3265598	17.505636674612127	0.005322655735052257
5	57070.37342	17.512315814722303	0.004714555577371546
6	57071.1006198	16.94250219383636	0.004657965224689704
7	57071.167966	17.23101849319498	0.0050993881945925945
8	57071.2363844	17.504020505451457	0.004172924109972183
9	57071.3067544	17.399308342942923	0.0045667473740231435
10	57071.3753081	16.9155626579013	0.006297195031515578
11	57072.0972817	17.313581222387157	0.004600459130469804
12	57072.1658917	17.538070063437022	0.005673863406398062
13	57072.2346584	17.193792657487922	0.0061069014485932265
14	57072.3036265	16.914759118834887	0.004382083780435914
15	57072.3725058	17.218293845947397	0.0040970781114543844
16	57073.0946888	17.505735997578746	0.007194407707526855
17	57074.0917728	16.92205344643039	0.008119760675520367
18	57074.3620269	17.07717163438984	0.005693701779065807
19	57075.0897401	17.179738641538222	0.005393491110603671
20	57075.157039	17.441362053211282	0.004316207073049624
21	57075.2256573	17.48382134058513	0.005940349362224232
22	57075.2944351	16.890612115099884	0.004079689967089728
23	57075.3630387	17.05392840180654	0.005696382554858952
25	57077.2034114	17.15549786212448	0.0046614929292017404
26	57078.203057	17.505654821036284	0.00601233856570668
28	57080.1332244	16.882953365620217	0.00590892789345892
29	57080.2017908	17.010503078011137	0.005208911174710389
31	57090.2575391	17.277830659699333	0.005880100317208544
35	57095.2015731	17.501824227091017	0.004883476841750273
