# EPOCH	MJD	MAG_KRON	MAGERR_KRON
2	57070.1312927	20.114210626557334	0.014577393125381994
3	57070.2167215	20.890219172601284	0.02656031354572153
4	57070.2854458	19.94705595316291	0.013374090968081804
5	57070.3324582	20.42485478995738	0.023044563084307027
6	57071.0601069	20.755437902168207	0.024189890817106173
7	57071.1278703	20.05305241226123	0.01257990276212147
8	57071.1955317	20.56203351137413	0.017946924907192095
9	57071.2656643	20.00308470933078	0.012308071821570838
10	57071.3346489	20.04610247668168	0.013935254593209394
11	57072.0568412	20.042301664667242	0.019573148229138186
12	57072.1244666	20.730545008890683	0.02291683947315966
13	57072.1937921	19.95816677594939	0.01315876653457489
14	57072.2624662	20.633536075176142	0.01997294820687908
15	57072.3316361	20.09212185796075	0.015765780305791552
16	57073.0542127	20.13269587150107	0.02328001375872866
17	57074.0519003	21.190609359957637	0.07693540272313373
18	57074.3189177	20.153886294216175	0.03618059469240725
19	57075.0494839	20.08143087150374	0.023902844434164086
20	57075.1169513	20.525982394006263	0.029931352904676193
21	57075.1847679	19.984958678878918	0.013233757468132256
22	57075.2535318	20.838803815694273	0.042010074478784486
23	57075.3221541	19.990044276895397	0.024690681061087228
25	57077.1017369	20.034602676806482	0.020066672208309464
26	57077.1628915	20.98112501769753	0.03015341670650878
28	57080.093114	20.01766536364319	0.04332046962592834
29	57080.1609666	20.402730146366057	0.04113421390697914
32	57090.2217978	20.098865323062668	0.03424095242576811
35	57095.1605637	19.922213063760207	0.012421054950347314
