# EPOCH	MJD	MAG_KRON	MAGERR_KRON
2	57070.1085858	15.173607855832213	0.0047353317690203905
3	57070.1935601	15.668386711134392	0.004535485437082977
4	57070.2622249	15.238948312419119	0.0037256568570537833
5	57071.0372791	15.215265094960355	0.002655533757556993
6	57071.1051424	15.738311901950198	0.003369742195099255
7	57071.1726128	16.79155595295981	0.0036623470501286285
8	57071.2409471	16.998802148157562	0.0029997025537434013
9	57071.3113845	15.59047967128257	0.0022865204012794387
10	57072.0340498	15.678093016823688	0.0033724858790834364
11	57072.1017795	15.202671291884919	0.003496709653679251
12	57072.1705264	15.410800702868674	0.003056947897921788
13	57072.2392548	15.41768827533637	0.0028680637525462125
14	57072.3083748	15.177442191525255	0.0028098888194536447
15	57073.0315378	15.171894236555797	0.02096532017639996
16	57073.0992293	15.568750263423624	0.004518538438151964
17	57074.0294249	15.725021579206643	0.003013748670051132
18	57074.2922935	15.180201245918283	0.0037016836349234293
20	57075.0266769	15.19583062051429	0.00305370156650066
21	57075.094281	15.506685707481296	0.0033823121271108147
22	57075.1615884	15.353147307078089	0.0036900807259742934
23	57075.2302587	15.181446830905877	0.0027821178455456922
24	57075.2989753	15.689618711213857	0.0026738285738791183
26	57077.0790526	15.295734273648453	0.0037012693477973466
27	57077.1396232	15.634996810045404	0.0036837970703884277
29	57080.0704247	15.42786339004683	0.0029951127093630447
30	57080.1378143	15.188140384331458	0.004626381355287248
33	57090.2061739	15.332835761307825	0.002874519753665256
36	57095.1453219	15.617995259434405	0.003629932609430863
